category_id,subcategory_id,category,subcategory,description,cluster
coding-agents,,Coding Agents,,"AI-powered development environments, code-completion tools, and autonomous coding agents",agent-layer
agent-orchestration,,Agent Orchestration,,Platforms that orchestrate multiple coding agents in parallel — session runners and multi-agent swarms for coordinating agent work,agent-layer
agent-skills,,Agent Skills & MCP,,"Skills packs, spec-driven methodologies, context-engineering frameworks, and Model Context Protocol servers installed into coding agents (Claude Code, Codex, Cursor, Gemini CLI) as reusable capability bundles",agent-layer
agent-sdks-and-protocols,,Agent SDKs & Protocols,,"SDKs, libraries, pre-built tool connectors, and interoperability protocols (MCP, A2A) for building and extending AI agents in code",agent-layer
autonomous-agents,,Autonomous Agents,,Self-directed agents that decompose goals into sub-tasks and iterate toward completion with minimal human-in-the-loop oversight,agent-layer
agent-platforms,,Agent Platforms,,"Enterprise agent platforms and visual / no-code agent builders — studios for designing, deploying, and governing AI agents",agent-layer
browser-use-and-web-scraping,,Browser & Web Data,,"Agent-facing browser-control and web-data tools: browser sessions, web UI control, crawling, scraping, and extraction",agent-layer
vector-and-rag-infrastructure,,Vector & RAG Infrastructure,,"Vector stores, retrieval pipelines, and RAG frameworks enabling semantic search and grounded generation over documents and knowledge bases",runtime-stack
agent-memory,,Agent Memory,,"Memory-as-a-service platforms and stateful agent frameworks that persist context, entities, and relationships across agent sessions — distinct from document-oriented RAG",runtime-stack
inference-providers,,Inference Providers,,Hosted inference providers and cloud platforms purpose-built for deploying foundation models at scale,runtime-stack
observability-and-evaluation,,Observability & Evaluation,,"Tools for tracing, monitoring, evaluating, and improving LLM application quality in production",runtime-stack
dev-infrastructure,,Dev Infrastructure,,"Backend services such as sandboxes, execution environments, and LLM gateways that underpin AI apps",platform-infra
model-infrastructure,,Model Infrastructure,,"Libraries and platforms for training, fine-tuning, and serving foundation models on self-managed infrastructure",platform-infra
workflow-automation,,Workflow Automation,,"iPaaS and visual workflow-automation platforms with AI actions and agent nodes (n8n, Zapier AI, Make, Workato) — integration-first, not agent-centric",platform-infra
image-and-video-gen,,Image & Video Gen,,"Inference APIs, hosted platforms, and open-weight model families for image and video generation (fal.ai, RunwayML, Luma, Stability AI, Flux, ComfyUI)",modalities
voice-ai-and-speech,,Voice AI & Speech,,"AI-powered speech and voice tools for developers and end-users: TTS synthesis, ASR transcription, voice agents, and dictation apps",modalities
directories,,Directories,,"Curated indexes, marketplaces, and lists that help developers discover AI tools, MCP servers, and agent skills",discovery
benchmarks-and-leaderboards,,Benchmarks & Leaderboards,,"Standardized benchmarks, leaderboards, and Elo arenas for evaluating and comparing coding agents and LLM capabilities",discovery
ai-signals-and-research,,AI Signals & Research,,"Newsletters, podcasts, video channels, technical analysis, and research-discovery surfaces that track the AI developer ecosystem",discovery
coding-agents,ide-copilots,Coding Agents,IDE Copilots,"In-editor AI assistants and tab-completion tools that embed into popular editors (Cursor, GitHub Copilot, Windsurf, Tabnine, Supermaven). Covers chat-in-editor, inline completion, and IDE-native agents",
coding-agents,cli-harnesses,Coding Agents,CLI Harnesses,"Terminal-native coding agents that run in the developer's shell as long-lived harnesses (Claude Code, Codex CLI, Gemini CLI, Aider, OpenCode). Keyboard-driven, scriptable, filesystem-aware",
coding-agents,cloud-coding-agents,Coding Agents,Cloud Coding Agents,"Cloud-hosted autonomous coding agents that plan, write, and ship code without local setup (Devin, OpenHands, Jules, GitHub Copilot Workspace)",
coding-agents,app-builders,Coding Agents,App Builders,"Prompt-to-app and design-to-code builders that generate full-stack applications from a natural-language brief or a design file (v0, Lovable, Bolt, Replit Agent)",
coding-agents,dev-loop-utilities,Coding Agents,Dev-Loop Utilities,"Workflow utilities that wrap around coding agents: automated code review and PR triage (CodeRabbit, Greptile), repo-to-context packers and live doc lookup (Repomix, Context7, files-to-prompt)",
agent-orchestration,parallel-session-runners,Agent Orchestration,Parallel Session Runners,"Run many coding-agent sessions in parallel, usually one per git worktree, with a dashboard, kanban, or TUI for review",
agent-orchestration,multi-agent-swarms,Agent Orchestration,Multi-Agent Swarms,Frameworks that decompose a goal across specialized agents — flat role-based teams (planner / coder / reviewer / QA) or hierarchical agent-company structures with org charts and governance — passing artifacts and context through a coordinator,
agent-skills,skills-and-agent-packs,Agent Skills & MCP,Skills & Agent Packs,"Installable bundles of skills, subagents, plugins, and slash-commands that extend coding-agent capabilities. Both single-purpose skills and broad multi-asset packs (SKILL.md / .agents / commands)",
agent-skills,workflow-and-spec-frameworks,Agent Skills & MCP,Workflow & Spec Frameworks,"Opinionated multi-phase methodologies (TDD, spec-driven, plan-spec-execute-verify, context engineering, role-based) shipped as markdown or prompt frameworks that prescribe how a coding agent works, not just what it can do",
